GPE,Latitude,Longitude,group_ID
Ipswich,52.056736,1.14822,213
B.Barry 2,52.1277623,-8.2895635,214
Holland,52.132633,5.291265999999999,215
Dennington,52.253926,1.3393709,216
Warwick,52.28231599999999,-1.584927,217
England,52.3555177,-1.1743197,218
Birmingham,52.48624299999999,-1.890401,219
Peterborough,52.57031689999999,-0.2407996999999999,220
Derby,52.9225301,-1.4746186,221
Jubilee Park,53.1557403,-0.2215658,222
Sheffield,53.38112899999999,-1.470085,223
Newfoundland,53.49436391800336,-60.22052574294098,224
Heywood,53.592628,-2.22565,225
B.Jenkinson,53.6924621,-1.6311384,226
Belarus,53.709807,27.953389,227
Manitoba,53.7608608,-98.8138763,228
Yorkshire,53.9590858,-1.0792403,229
York,53.9614205,-1.0739108,230
Whitehaven,54.549699,-3.589233,231
Coleraine,55.1325802,-6.6646102,232
Britain,55.378051,-3.435973,233
Moscow,55.755826,37.6173,234
Canada,56.130366,-106.346771,235
Scotland,56.49067119999999,-4.2026458,236
Glencoe,56.68255989999999,-5.1022713,237
Kodiak,57.79000000000001,-152.4072222,238
Stockholm,59.32932349999999,18.0685808,239
Bergen,60.39126279999999,5.3220544,240
Norway,60.47202399999999,8.468945999999999,241
Russia,61.52401,105.318756,242
