Location,Latitude,Longitude,Count,group_id
Montville,40.9148209,-74.383763,1,333.0
Wayne,40.92537249999999,-74.2765441,2,338.0
Colombia,40.9256446,-75.0931123,4,340.0
Mount Arlington,40.92593189999999,-74.6348828,6,341.0
Rockaway Township,40.9300943,-74.4872422,3,345.0
New Milford,40.9350986,-74.0190281,2,346.0
Prospect Park,40.9370428,-74.1743111,2,348.0
Knowlton,40.94958279999999,-75.0654258,7,352.0
North Haledon,40.9550981,-74.1859781,3,353.0
Glen Rock,40.9628758,-74.1329207,21,356.0
Harrington Park,40.9837089,-73.9798601,2,358.0
Midland Park,40.98926429999999,-74.1406988,1,359.0
North Warren,40.992298,-74.9910112,2,361.0
Hardyston,41.11370369999999,-74.5540506,2,376.0
Passaic County,41.1231647,-74.35874729999999,2,378.0
Sussex County,41.1288481,-74.6868815,3,379.0
Branchville,41.1464852,-74.7523874,2,381.0
Frankfurt,41.1662778,-74.74541119999999,2,382.0
